burden_adherence,challenge_recovery_time,circadian_adherence,controller_solve_time_mean,cum_cost,episode,episode_length,fallback_count,mode_accuracy,mode_b_entry_count,policy,recursive_feasibility_rate,safety_violation_rate,scenario,seed,state_rmse,time_in_target
1.0,41.5,1.0,4.553887500335918e-05,861.566355330194,0,512,0,0.705078125,0,pooled_lqr,1.0,0.17578125,model_mismatch,1201,0.28426921541897954,0.201171875
1.0,15.5,1.0,4.670830859065944e-05,65.28624809534102,1,512,0,0.5625,0,pooled_lqr,1.0,0.04296875,model_mismatch,1303,0.26599591785229865,0.283203125
1.0,13.5,1.0,4.7980851584306095e-05,107.44575839637544,2,512,0,0.578125,0,pooled_lqr,1.0,0.03125,model_mismatch,1405,0.24696884922594586,0.251953125
1.0,22.0,1.0,4.9146505857855516e-05,342.2830800842109,3,512,0,0.607421875,0,pooled_lqr,1.0,0.095703125,model_mismatch,1507,0.25530981605668596,0.25390625
1.0,10.5,1.0,5.176167578468949e-05,346.2076193796541,4,512,0,0.546875,0,pooled_lqr,1.0,0.078125,model_mismatch,1609,0.2794258198145485,0.185546875
1.0,13.5,1.0,5.331755272486305e-05,24.905184183902524,5,512,0,0.529296875,0,pooled_lqr,1.0,0.017578125,model_mismatch,1206,0.25572152507434964,0.21875
1.0,16.25,1.0,0.00022343003515246096,11.612935789943014,6,512,0,0.56640625,0,pooled_lqr,1.0,0.00390625,model_mismatch,1308,0.2381660133451337,0.3125
1.0,15.5,1.0,4.813105079293223e-05,13.520987309508596,7,512,0,0.54296875,0,pooled_lqr,1.0,0.009765625,model_mismatch,1410,0.23307280038034808,0.34375
1.0,17.5,1.0,4.6601121097111786e-05,23.522795849502803,8,512,0,0.513671875,0,pooled_lqr,1.0,0.01171875,model_mismatch,1512,0.2536976486807975,0.23046875
1.0,11.5,1.0,5.540540820891948e-05,27.741920404181414,9,512,0,0.548828125,0,pooled_lqr,1.0,0.005859375,model_mismatch,1614,0.25312370401168494,0.2890625
1.0,18.25,1.0,4.777511329212558e-05,32.40503994268241,10,512,0,0.552734375,0,pooled_lqr,1.0,0.01953125,model_mismatch,1211,0.2434125291345077,0.357421875
1.0,21.5,1.0,4.8186306636388565e-05,109.68018790802734,11,512,0,0.5859375,0,pooled_lqr,1.0,0.056640625,model_mismatch,1313,0.25051474090598913,0.291015625
1.0,19.75,1.0,4.6402523431687825e-05,272.2777636233709,12,512,0,0.595703125,0,pooled_lqr,1.0,0.068359375,model_mismatch,1415,0.2547369193942627,0.3203125
1.0,14.5,1.0,5.564041601591185e-05,13.55550182267934,13,512,0,0.4609375,0,pooled_lqr,1.0,0.005859375,model_mismatch,1517,0.2639186609931243,0.236328125
1.0,13.5,1.0,5.282501756642688e-05,72.50768557970898,14,512,0,0.529296875,0,pooled_lqr,1.0,0.02734375,model_mismatch,1619,0.2630960922297262,0.255859375
1.0,10.75,1.0,4.7303279299804046e-05,39.013993346431015,15,512,0,0.537109375,0,pooled_lqr,1.0,0.0234375,model_mismatch,1216,0.2530664287916613,0.2890625
1.0,11.5,1.0,4.75172246030553e-05,32.98658502024023,16,512,0,0.576171875,0,pooled_lqr,1.0,0.01171875,model_mismatch,1318,0.258926256287567,0.2734375
1.0,19.0,1.0,0.00011735338670693096,16.512785014946886,17,512,0,0.470703125,0,pooled_lqr,1.0,0.013671875,model_mismatch,1420,0.24247662693480146,0.28125
1.0,19.0,1.0,4.742127734402857e-05,18.3828298485134,18,512,0,0.48046875,0,pooled_lqr,1.0,0.01171875,model_mismatch,1522,0.23420609982140966,0.30078125
1.0,65.0,1.0,4.5157035135190426e-05,2645.6926137195273,19,512,0,0.734375,0,pooled_lqr,1.0,0.302734375,model_mismatch,1624,0.3022223109044355,0.19921875
1.0,28.5,1.0,4.7755023432571875e-05,414.96008630933375,20,512,0,0.5390625,0,pooled_lqr,1.0,0.099609375,model_mismatch,1221,0.27913545140779683,0.189453125
1.0,12.0,1.0,4.883829881574542e-05,27.02027410066541,21,512,0,0.568359375,0,pooled_lqr,1.0,0.0234375,model_mismatch,1323,0.24412995264652937,0.330078125
1.0,18.25,1.0,6.184555663057978e-05,60.77112413061285,22,512,0,0.5234375,0,pooled_lqr,1.0,0.01953125,model_mismatch,1425,0.24176965980463416,0.3125
1.0,14.0,1.0,4.750790038432484e-05,25.527792176215208,23,512,0,0.55859375,0,pooled_lqr,1.0,0.021484375,model_mismatch,1527,0.24376596779552623,0.28515625
1.0,9.75,1.0,4.6148066409124056e-05,303.15349809139366,24,512,0,0.66796875,0,pooled_lqr,1.0,0.130859375,model_mismatch,1629,0.29373045256577957,0.16015625
1.0,38.0,1.0,4.8151417971098454e-05,96.41056954373353,25,512,0,0.57421875,0,pooled_lqr,1.0,0.052734375,model_mismatch,1226,0.2727863630264854,0.294921875
1.0,13.0,1.0,6.850129491908774e-05,424.83016143856287,26,512,0,0.572265625,0,pooled_lqr,1.0,0.09375,model_mismatch,1328,0.2682824588213737,0.255859375
1.0,15.75,1.0,6.940216602568938e-05,18.370624685043104,27,512,0,0.51953125,0,pooled_lqr,1.0,0.01171875,model_mismatch,1430,0.2362776854212628,0.3359375
1.0,21.25,1.0,5.3179445316686724e-05,35.50211911061064,28,512,0,0.529296875,0,pooled_lqr,1.0,0.01953125,model_mismatch,1532,0.2475330473075741,0.30078125
1.0,16.5,1.0,5.1198546872299744e-05,15.690989569605488,29,512,0,0.541015625,0,pooled_lqr,1.0,0.005859375,model_mismatch,1634,0.23037912906797836,0.34765625
1.0,17.0,1.0,6.960024806623721e-05,16.74573983619873,30,512,0,0.548828125,0,pooled_lqr,1.0,0.00390625,model_mismatch,1231,0.23568410808765838,0.294921875
1.0,17.75,1.0,4.858538475271956e-05,39.684421149900125,31,512,0,0.501953125,0,pooled_lqr,1.0,0.03515625,model_mismatch,1333,0.2393233525476695,0.349609375
1.0,16.0,1.0,0.0002363135488216983,122.84785676930437,32,512,0,0.564453125,0,pooled_lqr,1.0,0.033203125,model_mismatch,1435,0.24325509292793915,0.3125
1.0,18.5,1.0,4.768296876189737e-05,90.20372728954925,33,512,0,0.53515625,0,pooled_lqr,1.0,0.03515625,model_mismatch,1537,0.23791435830141028,0.29296875
1.0,16.5,1.0,4.931611718550499e-05,100.16033035204642,34,512,0,0.478515625,0,pooled_lqr,1.0,0.029296875,model_mismatch,1639,0.24109059859986587,0.322265625
1.0,24.5,1.0,4.580593749015094e-05,1109.5656820833947,35,512,0,0.59765625,0,pooled_lqr,1.0,0.212890625,model_mismatch,1236,0.2926975205729303,0.19921875
