profile,stage,check,passed,value
standard,stage01,tau_tilde(center) == 0,True,0.0
standard,stage01,tau_tilde(far) > 0,True,66.4452
standard,stage01,tau sandwich lower ≤ tau_tilde,True,tau_L=11.3630 tau_tilde=66.4452
standard,stage01,committor q[A]=0,True,0.00e+00
standard,stage01,committor q[B]=1,True,1.000000
standard,stage01,"committor q ∈ [0,1]",True,min=0.0000 max=1.0000
standard,stage01,DARE P positive-definite,True,
standard,stage01,DARE K finite,True,
standard,stage01,finite_horizon_tracking len=H,True,6
standard,stage01,finite_horizon_tracking K[0] finite,True,
standard,stage01,chance tightening delta ≥ 0,True,mean=0.7231
standard,stage01,T_k_eff formula correct,True,12.5440 (expected 12.5440)
standard,stage01,"mu_bar_required ∈ (0,1]",True,0.0039
standard,stage01,DwellModel PMF sums to 1,True,1.00000000
standard,stage01,DwellModel survival[0] ≈ 1,True,1.0000
standard,stage01,total episodes correct,True,24
standard,stage01,x_true shape correct,True,"(128, 8)"
standard,stage01,y shape correct,True,"(128, 16)"
standard,stage01,missingness > 0 (some NaNs),True,0.483
standard,stage01,missingness < 1 (not all NaN),True,0.483
standard,stage01,all x_true finite,True,
standard,stage02,IMM mode probs sum to 1,True,max_dev=2.22e-16
standard,stage02,"IMM mode probs ∈ [0,1]",True,
standard,stage02,IMM MAP modes valid,True,unique modes=[0 1 2]
standard,stage02,mode1 F1 > 0 (pooled),True,0.8776
standard,stage02,pooled sample count correct,True,3072
standard,stage03b,Brier reliability finite,True,0.0035
standard,stage03b,Brier reliability ≥ 0,True,0.0035
standard,stage03b,Calibration does not worsen Brier,True,pre=0.0040 post=0.0035
standard,stage03b,"p_A_robust ∈ [0,1]",True,0.7035
standard,stage03b,p_A_robust ≥ p_A (miscalibration raises threshold),True,0.7035 ≥ 0.7
standard,stage03b,T_k_eff > 0,True,1.79
standard,stage03b,omega_min > 0,True,40741.9589
standard,stage03b,ICI state has required keys,True,"['condition_i', 'condition_ii', 'condition_iii', 'mode_c_recommended', 'worst_basin_idx', 'worst_T_k_eff', 'mu_hat', 'mu_bar_required', 'R_brier', 'R_brier_max', 'omega_min']"
standard,stage03b,ICI condition_i type bool,True,
standard,stage03b,condition_iii fires when T_k_eff < omega_min,True,T_k_eff=0.0100
standard,stage03b,pooled cal sample size ≥ 2*smoke,True,n_cal=3072
standard,stage03c,Mode C entry conditions dict returned,True,"['condition_i', 'condition_ii', 'condition_iii', 'any_triggered']"
standard,stage03c,Supervisor mode selection returns valid string,True,selected: mode_c
standard,stage03c,Mode C action bounded by u_max=0.35,True,max|u|=0.1561
standard,stage03c,Fisher proxy ≥ 0 always,True,empty=0.0000 withdata=0.3712
standard,stage03c,Fisher proxy increases with data,True,0.0000 → 0.3712
standard,stage03c,ModeCTracker enters,True,
standard,stage03c,ModeCTracker tracks steps,True,10
standard,stage03c,ModeCTracker exits cleanly,True,
standard,stage04,Mode A u norm bounded,True,max‖u‖=0.6620
standard,stage04,Mode A feasibility rate > 0.5,True,1.00
standard,stage04,Mode A produces non-zero control,True,18/64 calls
standard,stage04,Mode A on rho=0.96 basin finite u,True,
standard,stage04,Mode A on rho=0.96 risk computed,True,risk=0.7127
standard,stage04,Mode A seed=202 finite u,True,
standard,stage05,"Exact DP V* ∈ [0,1]",True,V*(start)=0.8476
standard,stage05,Exact DP V*(success)=1,True,
standard,stage05,Exact DP V*(failure)=0,True,
standard,stage05,Mode B heuristic gap ≤ 0.10,True,gap=0.0000
standard,stage05,"Mode B heuristic V ∈ [0,1]",True,V_heur(start)=0.8476
standard,stage05,epsilon_H > 0,True,0.7828
standard,stage05,suboptimality bound ≥ ε_H,True,bound=1.1828 eps_H=0.7828
standard,stage05,"Posterior committor ∈ [0,1]",True,0.3507
standard,stage05,Mode B aggressive > passive escape prob (n=100 MC),True,0.700 → 0.860
standard,stage06,coherence_penalty all finite,True,
standard,stage06,coherence_penalty all ≥ 0,True,
standard,stage06,coherence_penalty lower outside target,True,outside_low=0.2025 max_inside=0.0000
standard,stage06,coherence_grad all finite,True,
standard,stage06,coherence contribution monotone in w3,True,"['0.0078', '0.0157', '0.0314', '0.0470', '0.0784']"
standard,stage07,Mode A stable rho=0.5,True,‖u‖=0.0583
standard,stage07,Mode A stable rho=0.72,True,‖u‖=0.0635
standard,stage07,Mode A stable rho=0.85,True,‖u‖=0.0752
standard,stage07,Mode A stable rho=0.96,True,‖u‖=0.0935
standard,stage07,T_k_eff formula rho=0.72,True,5.9136
standard,stage07,T_k_eff formula rho=0.85,True,3.1680
standard,stage07,T_k_eff formula rho=0.96,True,0.8448
standard,stage07,Mismatch δ=0.05 Mode A finite,True,‖u‖=0.0972
standard,stage07,Mismatch δ=0.1 Mode A finite,True,‖u‖=0.0972
standard,stage07,Mismatch δ=0.2 Mode A finite,True,‖u‖=0.0972
standard,stage07,IMM stable p_miss=0.0,True,"probs=['0.000', '1.000', '0.000']"
standard,stage07,IMM stable p_miss=0.3,True,"probs=['0.000', '1.000', '0.000']"
standard,stage07,IMM stable p_miss=0.6,True,"probs=['0.000', '1.000', '0.000']"
standard,stage07,IMM stable p_miss=0.9,True,"probs=['0.000', '1.000', '0.000']"
standard,stage07,Mode A finite seed=101,True,‖u‖=0.0000
standard,stage07,Mode A finite seed=202,True,‖u‖=0.0000
