burden_adherence,challenge_recovery_time,circadian_adherence,controller_solve_time_mean,cum_cost,episode,episode_length,fallback_count,mode_accuracy,mode_b_entry_count,policy,recursive_feasibility_rate,safety_violation_rate,scenario,seed,state_rmse,time_in_target
1.0,39.25,1.0,0.0008186176835840442,11576.120780984722,0,512,507,0.609375,0,hdr_main,1.0,0.203125,model_mismatch,3201,0.27020511701446026,0.2421875
1.0,7.5,1.0,0.0007931471171760407,234.5595243341242,1,512,504,0.5625,0,hdr_main,1.0,0.015625,model_mismatch,3303,0.25264636655302153,0.24609375
1.0,17.25,1.0,0.0005272527128701299,786.0999679893766,2,512,503,0.54296875,0,hdr_main,1.0,0.029296875,model_mismatch,3405,0.24599361576940332,0.29296875
1.0,11.75,1.0,0.0006633300195426628,2537.9703959820617,3,512,501,0.55078125,0,hdr_main,1.0,0.060546875,model_mismatch,3507,0.2602860614922786,0.2890625
1.0,23.5,1.0,0.0006838690058605934,1655.4469245064558,4,512,509,0.61328125,0,hdr_main,1.0,0.0703125,model_mismatch,3609,0.2915005303231189,0.23046875
1.0,13.5,1.0,0.000729981269516955,179.2221889790239,5,512,501,0.54296875,0,hdr_main,1.0,0.01171875,model_mismatch,3206,0.25876296551567535,0.259765625
1.0,12.75,1.0,0.0005063056054579462,253.84400591043084,6,512,504,0.580078125,0,hdr_main,1.0,0.021484375,model_mismatch,3308,0.25264781647890144,0.3203125
1.0,15.5,1.0,0.0005352344863442937,319.3765673346323,7,512,502,0.546875,0,hdr_main,1.0,0.017578125,model_mismatch,3410,0.2428326827982924,0.3046875
1.0,13.5,1.0,0.0005841486074205093,92.69254792715478,8,512,504,0.537109375,0,hdr_main,1.0,0.009765625,model_mismatch,3512,0.23871462029788865,0.37890625
1.0,17.0,1.0,0.0005498602265650021,717.8591429041937,9,512,505,0.576171875,0,hdr_main,1.0,0.03515625,model_mismatch,3614,0.2491822769048534,0.29296875
1.0,18.5,1.0,0.0006127243320204201,645.8554232201037,10,512,503,0.52734375,0,hdr_main,1.0,0.02734375,model_mismatch,3211,0.23957295474141488,0.28125
1.0,14.25,1.0,0.0005782543886745373,209.88727283941517,11,512,506,0.525390625,0,hdr_main,1.0,0.017578125,model_mismatch,3313,0.26155984695989254,0.20703125
1.0,18.0,1.0,0.0005445796562506544,1370.7321904559815,12,512,506,0.5625,0,hdr_main,1.0,0.046875,model_mismatch,3415,0.2848810983832143,0.19140625
1.0,14.75,1.0,0.0005355298378857398,693.1281601042342,13,512,499,0.568359375,0,hdr_main,1.0,0.046875,model_mismatch,3517,0.2790805793264078,0.220703125
1.0,18.0,1.0,0.0005576296289184768,1685.9432700950276,14,512,505,0.533203125,0,hdr_main,1.0,0.076171875,model_mismatch,3619,0.26930310411677594,0.294921875
1.0,13.25,1.0,0.0006045692519460744,773.6759441227306,15,512,504,0.48828125,0,hdr_main,1.0,0.029296875,model_mismatch,3216,0.2669543276720485,0.244140625
1.0,9.25,1.0,0.0006322432460903471,160.6213922569258,16,512,506,0.498046875,0,hdr_main,1.0,0.009765625,model_mismatch,3318,0.24925096038081004,0.30078125
1.0,18.25,1.0,0.0005566846972788753,120.7973215011917,17,512,502,0.513671875,0,hdr_main,1.0,0.01171875,model_mismatch,3420,0.24079200563941972,0.28125
1.0,25.75,1.0,0.0006244438027422916,4684.53926380717,18,512,502,0.6015625,0,hdr_main,1.0,0.119140625,model_mismatch,3522,0.2736017494561744,0.30859375
1.0,16.5,1.0,0.0005886599746096621,332.53478886816697,19,512,505,0.568359375,0,hdr_main,1.0,0.017578125,model_mismatch,3624,0.2498264491412785,0.306640625
1.0,35.0,1.0,0.0005641396875120108,2012.986081109236,20,512,504,0.5078125,0,hdr_main,1.0,0.07421875,model_mismatch,3221,0.26120328970188106,0.28125
1.0,15.5,1.0,0.0007624706191373676,155.85983649717826,21,512,503,0.501953125,0,hdr_main,1.0,0.013671875,model_mismatch,3323,0.24925094970267528,0.2578125
1.0,12.5,1.0,0.0005577005878869556,201.96600122744812,22,512,499,0.509765625,0,hdr_main,1.0,0.009765625,model_mismatch,3425,0.2318690231923214,0.35546875
1.0,17.25,1.0,0.0006235322148411271,297.0967125211366,23,512,502,0.5390625,0,hdr_main,1.0,0.0234375,model_mismatch,3527,0.2396262100141624,0.27734375
1.0,19.5,1.0,0.0007002143808758632,370.15870479984227,24,512,501,0.572265625,0,hdr_main,1.0,0.02734375,model_mismatch,3629,0.26437724400547347,0.294921875
1.0,17.75,1.0,0.000633972460924781,245.0667764871503,25,512,501,0.48046875,0,hdr_main,1.0,0.02734375,model_mismatch,3226,0.2374589381897378,0.369140625
1.0,18.75,1.0,0.0005578416054667912,200.10776950227904,26,512,499,0.48828125,0,hdr_main,1.0,0.01171875,model_mismatch,3328,0.24656374292591143,0.279296875
1.0,14.5,1.0,0.0007143897656334275,116.12465285149258,27,512,507,0.501953125,0,hdr_main,1.0,0.005859375,model_mismatch,3430,0.24916938144305367,0.29296875
1.0,14.0,1.0,0.0006770632812536093,100.27675038247276,28,512,499,0.466796875,0,hdr_main,1.0,0.009765625,model_mismatch,3532,0.2334947920021686,0.36328125
1.0,16.5,1.0,0.0006154801425806156,623.6054282863291,29,512,499,0.58984375,0,hdr_main,1.0,0.033203125,model_mismatch,3634,0.23723252447180682,0.302734375
1.0,17.75,1.0,0.0005682666816415605,553.8245283525968,30,512,499,0.5625,0,hdr_main,1.0,0.013671875,model_mismatch,3231,0.24682260056452465,0.34375
1.0,19.0,1.0,0.0006016122656067324,129.31773240964606,31,512,504,0.455078125,0,hdr_main,1.0,0.00390625,model_mismatch,3333,0.2520330855838834,0.28515625
1.0,14.25,1.0,0.0005458768144590564,205.3156835722157,32,512,503,0.529296875,0,hdr_main,1.0,0.013671875,model_mismatch,3435,0.24024571963869362,0.31640625
1.0,12.25,1.0,0.0006067780058733874,129.42017728647238,33,512,502,0.484375,0,hdr_main,1.0,0.013671875,model_mismatch,3537,0.24791869034250982,0.3125
1.0,13.75,1.0,0.0006569084062526542,110.0601761900409,34,512,497,0.521484375,0,hdr_main,1.0,0.00390625,model_mismatch,3639,0.2314429259444659,0.37890625
1.0,18.25,1.0,0.0005488517284968353,140.83824878985834,35,512,501,0.54296875,0,hdr_main,1.0,0.0078125,model_mismatch,3236,0.23343463607640852,0.345703125
1.0,18.75,1.0,0.0007394272324070528,144.76729184812243,36,512,503,0.44140625,0,hdr_main,1.0,0.01171875,model_mismatch,3338,0.24307492983256662,0.28515625
1.0,12.0,1.0,0.0007332114921787536,103.12084915876281,37,512,494,0.546875,0,hdr_main,1.0,0.0078125,model_mismatch,3440,0.23154658653781118,0.353515625
1.0,35.25,1.0,0.0008215081835940552,8736.975827639415,38,512,503,0.658203125,0,hdr_main,1.0,0.158203125,model_mismatch,3542,0.2631287319991251,0.314453125
1.0,22.25,1.0,0.0008412379550728488,3275.4051727800943,39,512,506,0.529296875,0,hdr_main,1.0,0.0859375,model_mismatch,3644,0.2452251236720694,0.236328125
1.0,34.5,1.0,0.0005548857363120163,8740.827728084929,40,512,505,0.6640625,0,hdr_main,1.0,0.20703125,model_mismatch,3241,0.27697309758104927,0.220703125
1.0,16.5,1.0,0.000599966320314671,112.92564888625246,41,512,501,0.4609375,0,hdr_main,1.0,0.00390625,model_mismatch,3343,0.22705485202854264,0.3125
1.0,15.0,1.0,0.0006262768574192279,2371.223356537129,42,512,505,0.46875,0,hdr_main,1.0,0.0546875,model_mismatch,3445,0.2550663835362071,0.2421875
1.0,9.25,1.0,0.0005101981054718152,1462.8815182051012,43,512,504,0.6015625,0,hdr_main,1.0,0.06640625,model_mismatch,3547,0.2761797773683799,0.21484375
1.0,20.25,1.0,0.0005468329882729606,1039.80491318758,44,512,502,0.529296875,0,hdr_main,1.0,0.04296875,model_mismatch,3649,0.26189530302272407,0.263671875
1.0,13.0,1.0,0.0005783947441369008,156.33640276152275,45,512,502,0.53125,0,hdr_main,1.0,0.021484375,model_mismatch,3246,0.23452229611037445,0.330078125
1.0,17.25,1.0,0.0006992487851595897,855.209607678785,46,512,503,0.55859375,0,hdr_main,1.0,0.046875,model_mismatch,3348,0.25567245365379954,0.2890625
1.0,17.75,1.0,0.0005207482675864128,109.74060027655248,47,512,505,0.462890625,0,hdr_main,1.0,0.009765625,model_mismatch,3450,0.2472867913295106,0.27734375
1.0,27.5,1.0,0.0005361642363350683,5966.433924420901,48,512,504,0.595703125,0,hdr_main,1.0,0.134765625,model_mismatch,3552,0.2551829666567725,0.265625
1.0,14.5,1.0,0.0005581601757826959,99.317719829867,49,512,506,0.5,0,hdr_main,1.0,0.009765625,model_mismatch,3654,0.23501006969641944,0.3125
1.0,12.75,1.0,0.000638745150393305,8374.435988666422,50,512,507,0.69140625,0,hdr_main,1.0,0.197265625,model_mismatch,3251,0.29768734563706,0.20703125
1.0,12.5,1.0,0.0006466807968772414,135.77982791502558,51,512,508,0.388671875,0,hdr_main,1.0,0.01171875,model_mismatch,3353,0.2700033256724942,0.216796875
1.0,17.25,1.0,0.0007166616015688021,114.26416212849452,52,512,501,0.4453125,0,hdr_main,1.0,0.009765625,model_mismatch,3455,0.2418852789393772,0.279296875
1.0,10.75,1.0,0.000761057289064837,749.7454290343369,53,512,503,0.595703125,0,hdr_main,1.0,0.052734375,model_mismatch,3557,0.2684436036326785,0.251953125
1.0,15.5,1.0,0.0006347050253809883,151.97324266971208,54,512,502,0.482421875,0,hdr_main,1.0,0.009765625,model_mismatch,3659,0.24910984120865554,0.296875
1.0,17.5,1.0,0.0005519659668022925,1686.4441940107895,55,512,505,0.578125,0,hdr_main,1.0,0.068359375,model_mismatch,3256,0.24907797836969647,0.267578125
1.0,33.25,1.0,0.0005314092109296453,3726.231453965578,56,512,502,0.6875,0,hdr_main,1.0,0.078125,model_mismatch,3358,0.2854013908839702,0.234375
1.0,8.25,1.0,0.0005147391445321503,3401.773210055581,57,512,506,0.546875,0,hdr_main,1.0,0.091796875,model_mismatch,3460,0.26331842826480384,0.29296875
1.0,26.25,1.0,0.0005506516132829375,6541.757628288546,58,512,503,0.642578125,0,hdr_main,1.0,0.19140625,model_mismatch,3562,0.28741385354206483,0.205078125
1.0,13.5,1.0,0.0005851089628885475,155.02117396005053,59,512,501,0.546875,0,hdr_main,1.0,0.0078125,model_mismatch,3664,0.25651848406166045,0.296875
1.0,35.25,1.0,0.0007209016972744564,4358.980439348129,60,512,503,0.603515625,0,hdr_main,1.0,0.130859375,model_mismatch,3261,0.2895531133637777,0.220703125
1.0,10.75,1.0,0.000754533214850639,394.2473861617528,61,512,501,0.53515625,0,hdr_main,1.0,0.025390625,model_mismatch,3363,0.2602924802775154,0.291015625
